Code,Research agreement,District,Owner age range,Origin of the dog,Breed,Mixed_vs_pure,Size_acc_owners,Weight (Kg),Body condition,Body condition simplified,Size_detailed,Size_cluster,Size_class,Age_years,Age_classification,Animal_age_simplified,Sex,Sterilized or castrated,Household,Other animals in household,Specify,Other_dogs,Other_cats,Diet based on,Diet.simplified,Supplements,Fish_oil_at_least_weekly,Supplement_frequency,Walking time,Other dogs in walks,Interactions with other animals,Interactions_animals_frequency,Lifestyle,Outdoors time unleashed,Time alone without human,Time_no_humans,Dog bathing,Dog habits,Dog vaccination,Veterinarian visits,Antiparasitic treatment,Chronic disease,Specify,Last 2 months: any health issues?,Specify,Last 2 months: any treatment?,Detail about the treatment,Specify,Last 2 months: any antibiotics?,Specify,Last 2 months: any surgery?,Specify,Time (h) passed,Household,Fur in feces?,Vegetation or stones?,Undigested food?,Color,Texture,Follow-up when sampling?
D038,Yes,Changning District,26-35,Pet store,Shiba Inu,Pure breed,Small,5,Lean or normal weight,Lean or normal weight,I,I,small,1,Young_adult,Young,Female,Yes,Apartment,No,(empty),No,No,Dry food (kibble),Dry food,Other_supp,No,frequently,30 min or less,No,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,7-10 hours,More than 6h,Few times a month,None,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),Yes,(empty),Yes,Sterilization,14,32,Yes,undet,undet,dark brown,undet,Same
D039,Yes,Jiading District,26-35,Stray animals on the roadside,Chinese rural dog,Mixed breed,Small,7,Lean or normal weight,Lean or normal weight,II,II,small,1.6,Young_adult,Young,Female,Yes,House,Yes,Dog,Dog,Other,Dry food (kibble),Dry food,Yes,Unknown,sporadically,About 1 hour,Yes,Daily,Daily,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Few times a week,0-2 hours,Less than 6h,Never or few times a year,Carries or gnaws sticks|Eats grass or other vegetation|Eats or licks feces or urine,Rabies|Canine parvovirus|Distemper|Canine hepatitis|Other,Multiple times per year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),3,33,Yes,undet,undet,dark brown,Consistent,No health issues within last 2 months
D040,Yes,Jiading District,26-35,Rescued animal / Animal shelter,Mixed breed,Mixed breed,Medium,18,Lean or normal weight,Lean or normal weight,IV,IV,medium,4.8,Mature_adult,Adult,Male,Yes,House,Yes,Dog,Dog,Other,Dry food (kibble),Dry food,Yes,Unknown,sporadically,About 1 hour,Yes,Daily,Daily,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Few times a month,0-2 hours,Less than 6h,Never or few times a year,Eats grass or other vegetation,Rabies|Canine parvovirus|Distemper|Canine hepatitis|Other,Multiple times per year,Yes,Yes,Protein allergy,No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),3,33,undet,Yes,undet,dark brown,Soft,Different - Updated details
D041,Yes,Jiading District,26-35,Stray animals on the roadside,West-Highland-White-Terrier,Pure breed,Small,12.5,Overweight,Obese or overweight,II/III-overweight,II/III,medium,7.4,Early_senior,Senior,Male,Yes,Apartment,Yes,"Cat, dog",Dog,Cat,Dry food (kibble),Dry food,Yes,Unknown,sporadically,30 min or less,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,3-6 hours,Less than 6h,Few times a month,None,Rabies,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,I don't remember,(empty),No,(empty),No,(empty),2,34,undet,undet,undet,yellowish,Very soft,Same
D042,Yes,Jiading District,26-35,Stray animals on the roadside,Mixed breed,Mixed breed,Medium,14.5,Lean or normal weight,Lean or normal weight,III,III,medium,7.7,Early_senior,Senior,Male,Yes,Apartment,Yes,"Cat, dog",Dog,Cat,Dry food (kibble),Dry food,Other_supp,No,sporadically,30 min or less,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Almost always,3-6 hours,Less than 6h,Monthly,Eats or licks feces or urine,Rabies|Canine parvovirus|Distemper|Canine coronavirus,Sporadically if some concern,Yes,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",(empty),No,(empty),(empty),No,(empty),No,(empty),2,34,Yes,undet,undet,yellowish,Very soft,Same - very recent questionnaire
D043,Yes,Jiading District,26-35,Stray animals on the roadside,Mixed breed,Mixed breed,Small,9.5,Lean or normal weight,Lean or normal weight,III,III,medium,7.4,Early_senior,Senior,Male,Yes,Apartment,Yes,"Cat, dog",Dog,Cat,Dry food (kibble),Dry food,Other_supp,No,sporadically,30 min or less,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Almost always,3-6 hours,Less than 6h,Monthly,None,Rabies|Canine parvovirus|Distemper|Canine coronavirus,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),2,34,undet,undet,undet,yellowish,Very soft,Same - very recent questionnaire
D044,Yes,JIading District,26-35,Stray animals on the roadside,Mixed breed,Mixed breed,Small,12,Obese,Obese or overweight,III-overweight,III,medium,8.4,Early_senior,Senior,Male,Yes,Apartment,Yes,"Cat, dog",Dog,Cat,Dry food (kibble),Dry food,Other_supp,No,sporadically,30 min or less,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Almost always,3-6 hours,Less than 6h,Monthly,Eats or licks feces or urine,Rabies|Canine parvovirus|Distemper|Canine coronavirus,Sporadically if some concern,Yes,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",(empty),No,(empty),(empty),No,(empty),No,(empty),2,34,Yes,undet,maybe,undet,Soft,Same - very recent questionnaire
D045,Yes,Changning District,26-35,From a friend / relative / particular,Corgi,Pure breed,Medium,13.5,Lean or normal weight,Lean or normal weight,III,III,medium,7.2,Early_senior,Senior,Male,Yes,Apartment,Yes,Bunnies,Other,Other,Commercialized dog-specific fresh food (cooked),Fresh food,Other_supp,No,frequently,2 to 3 hours,No,Weekly,Weekly-Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Few times a week,0-2 hours,Less than 6h,Few times a month,None,Rabies|Canine parvovirus|Distemper,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),0,35,Yes,undet,maybe,undet,Soft,Different - Updated details
D046,Yes,Xuhui District,46-55,Rescued animal / Animal shelter,Chihuahua,Pure breed,Small,2.5,Lean or normal weight,Lean or normal weight,I,I,small,6.8,Mature_adult,Adult,Female,Yes,Apartment,No,(empty),No,No,Commercialized dog-specific fresh food (cooked),Fresh food,Other_supp,No,sporadically,30 min or less,(empty),Few times a year,Never-Few_times_a_year,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,7-10 hours,More than 6h,Never or few times a year,None,Rabies|Canine parvovirus,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),1,36,Yes,undet,undet,undet,Soft,Different - Updated details
D047,Yes,Jing'an District,26-35,Rescued animal / Animal shelter,Golden retriever,Pure breed,Big,31,Lean or normal weight,Lean or normal weight,V,V,large,5,Mature_adult,Adult,Male,Yes,Apartment,Yes,Dog,Dog,Other,Dog-specific home-made food,Fresh food,Yes,Yes,frequently,2 to 3 hours,Yes,Weekly,Weekly-Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Few times a week,More than 10 hours,More than 6h,Monthly,Carries or gnaws sticks|Eats grass or other vegetation,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Multiple times per year,Yes,No,(empty),Dental or oral disease,(empty),No,(empty),(empty),No,(empty),Yes,Teeth removed,2,37,Yes,undet,undet,undet,Hard,Same - very recent questionnaire
D048,Yes,Jing'an District,36-45,Rescued animal / Animal shelter,Samoyed,Pure breed,Big,22,Overweight,Obese or overweight,IV,IV,medium,6.3,Mature_adult,Adult,Female,Yes,Apartment,Yes,1 dog,Dog,Other,Dog-specific home-made food,Fresh food,Yes,Yes,frequently,2 to 3 hours,(empty),Weekly,Weekly-Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Few times a month,3-6 hours,Less than 6h,Never or few times a year,Eats grass or other vegetation,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),2,37,Yes,undet,maybe,undet,Consistent,Different - Updated details
D049,Yes,Jing'an District,46-55,Rescued animal / Animal shelter,Labrador retriever,Pure breed,Big,12,Lean or normal weight,Lean or normal weight,V-puppy,V,large,0.3,Puppy,Young,Female,No,Apartment,No,(empty),No,No,Dry food (kibble),Dry food,Other_supp,No,frequently,About 1 hour,No,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,0-2 hours,Less than 6h,Never or few times a year,"Eats soil, clay, or stones|Drinks water from puddles, ditches, or other drainage systems|Carries or gnaws sticks|Eats grass or other vegetation|Eats or licks feces or urine",Other,Sporadically if some concern,No,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",(empty),No,(empty),(empty),No,(empty),No,(empty),2,38,Yes,Yes,undet,undet,Consistent,Same - very recent questionnaire
D050,Yes,Pudong New Area District,36-45,From a friend / relative / particular,Poodle or Toy poodle,Pure breed,Small,5.6,Lean or normal weight,Lean or normal weight,I,I,small,10.2,Late_senior,Senior,Female,Yes,Apartment,Yes,"Hamster, Cat",Other,Cat,Dog-specific home-made food,Fresh food,Yes,Yes,frequently,About 1 hour,No,Daily,Daily,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Few times a week,7-10 hours,More than 6h,Weekly,Carries or gnaws sticks,Rabies,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),1,39,undet,undet,undet,undet,Consistent,Same - very recent questionnaire
D051,Yes,Putuo District,26-35,Animal breeder,Corgi,Pure breed,Medium,12.5,Obese,Obese or overweight,III,III,medium,5.2,Mature_adult,Adult,Female,Yes,Apartment,Yes,Cat,Other,Cat,Dry food (kibble),Dry food,Other_supp,No,frequently,30 min or less,No,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Almost always,7-10 hours,More than 6h,Monthly,Eats grass or other vegetation,Rabies|Canine parvovirus,Sporadically if some concern,No,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",(empty),Yes,I know the treatment,"Food poisoning induce vomit, cystitis treatment",Yes,?? (SuNuo) antibiotic,No,(empty),4,40,undet,undet,undet,undet,Consistent,Different - Updated details
D052,Yes,Jiading District,26-35,Pet store,Samoyed,Pure breed,Medium,22,Lean or normal weight,Lean or normal weight,IV,IV,medium,8.8,Early_senior,Senior,Female,Yes,Apartment,No,(empty),No,No,Dry food (kibble),Dry food,Yes,Yes,frequently,2 to 3 hours,No,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,0-2 hours,Less than 6h,Monthly,Carries or gnaws sticks|Eats or licks feces or urine,Rabies|Canine parvovirus|Distemper|Canine coronavirus,Once a year,No,Yes,Hip joint,No health disorders within the last 2 months,hysterectomy,Yes,I know the treatment,Hysterectomy,Yes,Cephalosporin,Yes,Hysterectomy,4,41,Yes,undet,undet,greenish,Consistent,Same - very recent questionnaire
